"var","var_2","cor"
"325","saldo_cal34_max1m3","por_cal34_max1m3",0.4071
"326","saldo_cal34_max1m3","por_mora60_max1m3",0.3814
"327","saldo_cal34_max1m3","saldo_mora60_max1m3",0.9023
"328","saldo_cal34_max1m3","por_mora90_max1m3",0.378
"329","saldo_cal34_max1m3","saldo_mora90_max1m3",0.7436
"330","saldo_cal34_max1m3","por_mora90_max1m12",0.3935
"331","saldo_cal34_max1m3","saldo_mora90_max1m12",0.6423
"332","saldo_cal34_max1m3","por_mora60_max1m6",0.3912
"333","saldo_cal34_max1m3","saldo_mora60_max1m6",0.8853
"334","saldo_cal34_max1m3","saldo_cal4_max1m6",0.7337
"335","saldo_cal34_max1m3","por_mora90_max1m6",0.3883
"336","saldo_cal34_max1m3","saldo_mora90_max1m6",0.7287
"337","saldo_cal34_max1m3","saldo_cal34_max1m12",0.8332
"338","saldo_cal34_max1m3","por_cal34_max1m12",0.4051
"339","saldo_cal34_max1m3","ci_pv",0.016
"340","saldo_cal34_max1m3","saldo_cal34_max1m6",0.9441
"341","saldo_cal34_max1m3","por_cal4_max1m6",0.3868
"342","saldo_cal34_max1m3","saldo_cal4_max1m12",0.6406
"343","saldo_cal34_max1m3","por_cal34_1m",0.3892
"344","saldo_cal34_max1m3","por_cal4_max1m12",0.3922
"345","saldo_cal34_max1m3","saldo_cal4_max1m3",0.7555
"346","saldo_cal34_max1m3","por_mora60_1m",0.3614
"347","saldo_cal34_max1m3","saldo_mora60_1m",0.6225
"348","saldo_cal34_max1m3","por_cal4_max1m3",0.3874
"349","saldo_cal34_max1m3","por_cal34_max1m6",0.403
"350","saldo_cal34_max1m3","por_mora90_1m",0.3582
"351","saldo_cal34_max1m3","saldo_mora90_1m",0.6191
"352","saldo_cal34_max1m3","por_castigo_max1m6",0.3612
"353","saldo_cal34_max1m3","saldo_castigo_max1m6",0.588
"354","saldo_cal34_max1m3","saldo_cal34_1m",0.7043
"355","saldo_cal34_max1m3","por_mora_0_min1m6",-0.33
"356","saldo_cal34_max1m3","por_cal4_1m",0.359
"357","saldo_cal34_max1m3","por_cal0_min1m3",-0.3595
"358","saldo_cal34_max1m3","por_mora_0_min1m3",-0.3328
"359","saldo_cal34_max1m3","por_vig_min1m3",-0.3844
"360","saldo_cal34_max1m3","por_castigo_max1m3",0.3612
"361","saldo_cal34_max1m3","saldo_castigo_max1m3",0.6178
"362","saldo_cal34_max1m3","frec_por_cal0_100_1m12",-0.3668
"363","saldo_cal34_max1m3","saldo_cal4_1m",0.6253
"364","saldo_cal34_max1m3","por_vig_min1m6",-0.3811
