"variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"130","saldo_castigo_max1m6",745.106091166745,1086.43937771706,1.45810024987963,0,0,0,288.085,1211.5625,2503.32,4617.309,3.2378868644354,28.00453891978,1211.5625,"[0, 4617.309]","[0, 2019.534]"
"131","por_castigo_max1m6",0.511404322153991,0.491789226912104,0.961644643206631,0,0,0,0.6849,1,1,1,-0.042785081164529,1.02925515260179,1,"[0, 1]","[0, 1]"
"132","linea_activa_max1m6",4592.74863523573,8956.61715683874,1.95016489431258,1,275.064,900,1809.11,4587,17500,36926.4344000002,8.01821555868042,109.120320583043,3687,"[1, 36926.4344000002]","[500, 12232.958]"
"133","linea_total_max1m6",4467.45337408313,8754.78763096203,1.95968192566952,1,200.099,900,1779.31,4500,17270.332,36402.9818,8.00850068104795,107.783704115426,3600,"[1, 36402.9818]","[500, 11356.482]"
"134","linea_usada_max1m6",2410.87392828036,3947.88740246981,1.63753374083969,0,0,436.125,1078.29,2565.985,9830.93600000001,17487.746,4.56635342571787,37.9937117904315,2129.86,"[0, 17487.746]","[0, 6098.554]"
"135","por_uso_linea_max1m6",0.685224612876936,0.367197139575114,0.535878502719607,0,0,0.43855,0.8754,0.999,1,1,-0.864214988774899,2.20848134820464,0.56045,"[0, 1]","[0, 1]"
"136","disp_efectivo_max1m6",782.613015484923,2511.54699384052,3.20918122257949,0,0,0,0,500.24,4214.68,11008.8116,9.00500511885086,135.048803132668,500.24,"[0, 11008.8116]","[0, 2101.546]"
"137","por_uso_efectivo_max1m6",0.151895925020375,0.277135408861298,1.8245085167632,0,0,0,0,0.18585,0.90704,1,1.90224943277947,5.48934880321064,0.18585,"[0, 1]","[0, 0.61058]"
"138","saldo_me_max1m6",31.2682475200756,769.548551372239,24.6111826663184,0,0,0,0,0,0,163.911400000001,36.2576634278622,1403.74033577007,0,"[0, 163.911400000001]","[0, 0]"
"139","por_me_max1m6",0.00502052432687766,0.0635936412228245,12.6667330108077,0,0,0,0,0,0,0.0400780000000002,14.4222927286841,215.16868518834,0,"[0, 0.0400780000000002]","[0, 0]"
"140","por_cal0_min1m12",27.6400065616798,43.6010476615708,1.57746155248818,0,0,0,0,90.535,100,100,0.991536462487764,2.03152432795763,90.535,"[0, 100]","[0, 100]"
"141","saldo_cal4_max1m12",937.437248771773,1626.88522088043,1.73546039802874,0,0,0,485.99,1400.21,3222.87,6255.68069999996,6.8939017196242,89.7542384922158,1400.21,"[0, 6255.68069999996]","[0, 2275.254]"
"142","por_cal4_max1m12",55.5573578302712,49.0424596194189,0.882735636371415,0,0,0,100,100,100,100,-0.219962942987124,1.06913703336853,100,"[0, 100]","[0, 100]"
